"zoneid","hu12_states","hu12_canopy2001_mean","hu12_nlcd2006_pct_41","hu12_nlcd2006_pct_42","hu12_nlcd2006_pct_43","hu12_nlcd2006_pct_52","hu12_nlcd2006_pct_71","hu12_tri_mean","hu12_surficialgeology_alluv_pct","hu12_surficialgeology_beach_pct","hu12_surficialgeology_colluv_pct","hu12_surficialgeology_dec_resid_pct","hu12_surficialgeology_eolian_pct","hu12_surficialgeology_gf_out_pct","hu12_surficialgeology_ice_pct","hu12_surficialgeology_lac_pct","hu12_surficialgeology_lac_clay_pct","hu12_surficialgeology_marine_pct","hu12_surficialgeology_peat_mrsh_pct","hu12_surficialgeology_saprol_pct","hu12_surficialgeology_solif_pct","hu12_surficialgeology_solut_pct","hu12_surficialgeology_till_clay_pct","hu12_surficialgeology_till_loam_pct","hu12_surficialgeology_till_oth_pct","hu12_surficialgeology_till_sand_pct","hu12_latewisconsinglaciation_glaciation"
336,"MO",50.543,60.3416,0.3139,0.3725,0.2834,1.99,1.0719,17.3397,0,0,33.7041,0,0,0,0,0,0,0,0,0,48.9562,0,0,0,0,3
337,"MO",58.2166,65.9863,3.218,1.4741,0.325,1.6194,1.121,22.1868,0,0,42.108,0,0,0,0,0,0,0,0,0,35.7052,0,0,0,0,3
338,"MO",56.1794,65.4605,0.4003,0.9078,0.3187,1.3361,1.0821,7.2036,0,0,13.2802,0,0,0,0,0,0,0,0,0,79.5161,0,0,0,0,3
339,"MO",57.7781,66.3752,0.3258,1.0962,0.144,1.6958,1.306,20.6226,0,0,43.9465,0,0,0,0,0,0,0,0,0,35.4309,0,0,0,0,3
340,"MO",48.7239,56.9387,1.0376,1.8449,0.2535,1.8126,1.1181,2.2928,0,0,4.6328,0,0,0,0,0,0,0,0,0,93.0745,0,0,0,0,3
341,"MO",64.0042,69.8865,2.0988,2.0522,0.1457,2.0116,1.312,18.0005,0,0,29.4695,0,0,0,0,0,0,0,0,0,52.5299,0,0,0,0,3
342,"MO",70.2812,77.8943,2.2067,1.9194,0.1876,1.5205,1.4621,17.5917,0,0,28.9471,0,0,0,0,0,0,0,0,0,53.4612,0,0,0,0,3
343,"MO",51.7022,57.2096,2.6434,1.6009,0.3052,1.8682,1.0565,19.6743,0,0,14.2691,0,0,0,0,0,0,0,0,0,66.0566,0,0,0,0,3
344,"MO",61.9503,69.9371,3.7172,1.7128,0.2709,1.8764,1.0188,1.2385,0,0,50.0672,0,0,0,0,0,0,0,0,0,48.6943,0,0,0,0,3
345,"MO",59.108,64.0231,3.3855,2.4213,0.1282,1.2124,1.1169,17.7707,0,0,40.0275,0,0,0,0,0,0,0,0,0,42.2018,0,0,0,0,3
346,"MO",61.0358,63.7538,3.8315,2.1315,0.1413,2.9646,1.3129,6.5138,0,0,9.9835,0,0,0,0,0,0,0,0,0,83.5027,0,0,0,0,3
347,"MO",45.8523,48.9541,3.5846,1.4252,0.1769,1.905,1.088,34.732,0,0,16.1741,0,0,0,0,0,0,0,0,0,49.0939,0,0,0,0,3
348,"MO",57.487,57.9555,5.852,2.5836,0.0238,0.7511,0.9915,18.4161,0,0,55.6101,0,0,0,0,0,0,0,0,0,25.9738,0,0,0,0,3
349,"MO",40.3749,47.7186,0.285,0.9904,0.0135,2.3709,0.5638,8.7406,0,0,0,0,0,0,0,0,0,0,0,0,91.2594,0,0,0,0,3
350,"MO",59.4839,65.2478,0.5233,0.8359,0,2.8619,0.9444,16.3616,0,0,12.5205,0,0,0,0,0,0,0,0,0,71.1179,0,0,0,0,3
351,"MO",58.2808,62.4466,3.1961,1.7801,0.0308,1.2683,1.1832,23.8997,0,0,47.4196,0,0,0,0,0,0,0,0,0,28.6807,0,0,0,0,3
352,"MO",53.5847,57.967,0.6549,3.8192,0.0415,3.0691,0.8527,1.1382,0,0,0,0,0,0,0,0,0,0,0,0,98.8618,0,0,0,0,3
353,"MO",62.8337,66.1874,1.7118,3.4505,0.0418,2.3331,0.9834,35.7645,0,0,8.1862,0,0,0,0,0,0,0,0,0,56.0493,0,0,0,0,3
354,"MO",61.7377,63.7613,4.9317,4.2173,0.226,1.9802,1.2954,1.0109,0,0,0,0,0,0,0,0,0,0,0,0,98.9891,0,0,0,0,3
355,"MO",46.3964,50.0849,4.3322,2.4469,0.2235,2.3018,1.1092,32.1835,0,0,0,0,0,0,0,0,0,0,0,0,67.8165,0,0,0,0,3
356,"MO",51.9968,56.9976,6.0819,0.9656,0,2.3949,0.6819,7.6706,0,0,92.3294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
357,"MO",8.7562,8.1548,0,0.0139,0.2879,0.6006,0.2379,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
358,"MO",6.4052,7.1946,0.0106,0,0.0716,0.3817,0.2313,10.4888,0,0,89.5112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
359,"MO",7.6203,9.0608,0.0088,0.0048,0.1649,0.7038,0.2895,12.2229,0,0,87.7771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
360,"MO",7.195,8.5164,0.1104,0.0135,0.0721,0.5702,0.2759,41.5112,0,0,58.4888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
361,"MO",12.733,8.8797,0,0,0.0407,0.9509,0.2978,48.4546,0,0,51.5454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
362,"MO",51.9841,55.666,5.4928,1.8048,0.0546,1.9824,0.8575,0,0,0,39.7244,0,0,0,0,0,0,0,0,0,60.2756,0,0,0,0,3
363,"MO",67.443,61.6892,14.9548,2.06,0.0455,1.1735,0.8841,4.4675,0,0,74.8505,0,0,0,0,0,0,0,0,0,20.682,0,0,0,0,3
