"zoneid","hu12_states","hu12_nlcd2006_pct_11","hu12_nlcd2006_pct_90","hu12_nlcd2006_pct_95","hu12_baseflowindex_mean","hu12_groundwaterrecharge_mean","hu12_prism_ppt_30yr_normal_800mm2_annual_mean","hu12_prism_tmean_30yr_normal_800mm2_annual_mean","hu12_runoff_mean","hu12_lakes_lakes4ha_overlapping_area_pct","hu12_lakes_lakes4ha_isolated_overlapping_area_pct","hu12_lakes_lakes4ha_headwater_overlapping_area_pct","hu12_lakes_lakes4ha_drstream_overlapping_area_pct","hu12_lakes_lakes4ha_drlakestream_overlapping_area_pct","hu12_lakes_lakes4to10ha_overlapping_area_pct","hu12_lakes_lakes10ha_overlapping_area_pct","hu12_streamdensity_streams_density_mperha","hu12_streamdensity_headwaters_density_mperha","hu12_streamdensity_midreaches_density_mperha","hu12_streamdensity_rivers_density_mperha","hu12_wl_allwetlandsundissolved_overlapping_area_pct","hu12_wl_isolatedwetlandsundissolved_overlapping_area_pct","hu12_wl_singlewetlandsundissolved_overlapping_area_pct","hu12_wl_connectedwetlandsundissolved_overlapping_area_pct","hu12_wl_forestedwetlandsundissolved_overlapping_area_pct","hu12_wl_scrubshrubwetlandsundissolved_overlapping_area_pct","hu12_wl_openwaterwetlandsundissolved_overlapping_area_pct"
5398,"IL",0.0156,0.206,0.0354,32.5301,89.8193,973.9754,10.0879,11.0955,0,0,0,0,0,0,0,7.3291,7.3291,0,0,1.0511,0.6415,0.0433,0.3663,0.3098,0.0551,0.6862
5399,"IL",0.3731,9.054,0.1256,36.7872,94.3617,949.5821,10.0156,10.2783,0.2229,0.2229,0,0,0,0,0.2229,10.307,10.307,0,0,4.6816,1.1556,0.3983,3.1277,3.6734,0.0973,0.911
5400,"IL",19.5916,8.3947,0.1036,39,97,934.098,9.9281,9.9269,10.6774,0.7221,9.7155,0,0.2398,0.4573,10.2201,8.7059,5.551,0,3.1529,5.1075,1.659,0.2328,3.2157,3.1558,0.2641,1.6876
5401,"IL",0.0189,0.0042,0,33.1556,81.3333,967.7021,10.5597,9.8185,0,0,0,0,0,0,0,9.5798,9.5798,0,0,0.2049,0.1743,0,0.0307,0.0267,0,0.1773
5402,"IL",0.05,0.0185,0,33.0909,80.7045,968.5005,10.5182,9.7798,0,0,0,0,0,0,0,16.1542,15.2603,0.8939,0,0.1264,0.035,0.0102,0.0812,0.0639,0,0.0625
5403,"IL",0.0541,0.0271,0,33.1707,81.2317,972.0286,10.6074,9.8022,0,0,0,0,0,0,0,16.918,15.3074,1.6106,0,0.2927,0.1169,0.0373,0.1386,0.1357,0,0.1571
5404,"IL",0.1045,0.2916,0,33.4048,82.3095,971.5948,10.6636,9.872,0,0,0,0,0,0,0,7.2956,5.9213,1.3742,0,0.5196,0.0995,0.0133,0.4068,0.4462,0,0.0734
5405,"IL,IN",0.0624,1.803,0.5731,31.3617,96.0426,991.1555,9.9322,12.0762,0,0,0,0,0,0,0,9.399,9.2549,0.1441,0,1.7688,1.0795,0.379,0.3103,0.2296,0.0892,1.45
5406,"IL",0,0.0131,0,33.7143,83.1429,973.9308,10.6635,9.8663,0,0,0,0,0,0,0,13.0051,9.3809,3.6242,0,0.1422,0.0594,0.0026,0.0802,0.0802,0,0.062
5407,"IL",0,0,0,33.4694,83.4082,971.4164,10.7798,9.9312,0,0,0,0,0,0,0,5.3871,5.3871,0,0,0.1716,0.1375,0.034,0,0.034,0,0.1375
5408,"IL",0.0099,0.1897,0,33.3621,82.3276,973.9122,10.7144,9.8733,0,0,0,0,0,0,0,14.6452,11.6216,3.0236,0,0.5171,0.1332,0.0269,0.357,0.2531,0.0529,0.2112
5409,"IL",0,0.2323,0,32.7857,81.6607,970.9512,10.7528,9.9811,0,0,0,0,0,0,0,7.8311,7.8311,0,0,0.4566,0.0295,0,0.4271,0.3941,0,0.0618
5410,"IL",0,0.2869,0,31.8804,80.6413,972.7531,10.6318,10.0604,0,0,0,0,0,0,0,9.7078,9.3737,0.3341,0,0.5604,0.0928,0.0048,0.4628,0.4168,0,0.1436
5411,"IL",0.2083,1.0996,0,32.8089,81.3376,970.4985,10.4805,9.9098,0.1304,0.1034,0,0.027,0,0.027,0.1034,10.5437,8.2003,2.3434,0,1.9898,0.1066,0.019,1.8642,1.3211,0.0058,0.6625
5412,"IL",0.311,3.1578,0,33.3659,85.1463,974.2441,10.5294,10.1897,0,0,0,0,0,0,0,10.3109,6.0144,0.0087,4.2878,2.7157,0.1696,0,2.5461,2.5786,0,0.1371
5413,"IL",0,0.4446,0,32.1509,81,977.4554,10.3829,10.0271,0,0,0,0,0,0,0,6.086,6.086,0,0,0.6045,0.1654,0.0256,0.4134,0.4182,0,0.1863
5414,"IL",0.1265,2.5778,0,33.9355,86.6613,974.7198,10.3028,10.2273,0,0,0,0,0,0,0,9.5632,6.5025,0.0027,3.058,1.4185,0.3771,0.0515,0.9899,0.9844,0.0504,0.3837
5415,"IL",0.1362,0.0305,0,33.2955,79.5227,955.109,10.4418,9.6714,0,0,0,0,0,0,0,13.8719,12.7927,1.0791,0,1.1052,0.3063,0.0488,0.75,0.3431,0,0.7621
5416,"IL",0.0712,0.0222,0,33.0308,80.0308,955.0477,10.4353,9.7224,0.0718,0.0718,0,0,0,0.0718,0,13.4287,12.1686,1.2601,0,0.0903,0.0385,0,0.0519,0.0606,0,0.0298
5417,"IL",0.3725,0.011,0,33.16,80.06,945.4402,10.4493,9.6991,0,0,0,0,0,0,0,12.6428,11.0069,1.6359,0,0.2979,0.2412,0.0133,0.0435,0.0119,0.0076,0.2784
5418,"IL",0.1562,0.1925,0,33.0096,80.4231,955.3583,10.4236,9.745,0.0776,0.0776,0,0,0,0.0776,0,8.9557,7.9639,0.9919,0,0.7589,0.1749,0.0886,0.4954,0.3919,0.0351,0.3319
5419,"IL",0.7999,1.9627,0.0044,33.3793,81.3586,964.7664,10.3994,9.7917,0.6063,0.2461,0.3174,0.0427,0,0.1145,0.4918,11.4244,7.6675,3.7569,0,3.0307,0.1605,0.0405,2.8296,2.5571,0.1813,0.2922
5420,"IL",0.0221,0.1614,0,32.8734,82.3038,973.7637,10.3213,9.9929,0,0,0,0,0,0,0,6.6844,6.6844,0,0,0.3477,0.1058,0.0111,0.2307,0.2277,0,0.12
5421,"IL",0.1266,0.0701,0,33.46,83.16,967.4989,10.3024,9.9157,0,0,0,0,0,0,0,7.8285,7.8285,0,0,0.2317,0.0689,0.0062,0.1567,0.1229,0,0.1088
5422,"IL",0.2537,2.8496,0.0061,34.4215,86.5455,968.4093,10.2384,10.0552,0.0673,0,0,0.0673,0,0.0673,0,10.2469,6.7701,3.4768,0,4.3033,0.2022,4e-04,4.1008,3.9985,0.0315,0.2733
5423,"IL",0.4049,0,0,35.9259,90.7778,963.1476,10.1915,10.1404,0.3758,0.3758,0,0,0,0.3758,0,6.7247,6.7247,0,0,0.0395,0.0395,0,0,0,0.0025,0.0371
5424,"IL,IN",0.1775,0.8598,0.2438,33.2683,100.9024,986.2542,9.9483,12.0176,0,0,0,0,0,0,0,8.5675,5.1123,3.4551,0,0.7843,0.5299,0.0239,0.2306,0.1149,0.0232,0.6462
5425,"IL,IN",0.0117,0.0705,0.052,34.2,102.4182,972.9525,10.0021,11.9525,0,0,0,0,0,0,0,11.752,10.5683,1.1837,0,0.2625,0.1634,0.087,0.0121,0,0,0.2625
5426,"IL,IN",0.8739,1.8909,0.2134,34.7353,102.0294,962.6335,10.0627,11.8094,0,0,0,0,0,0,0,16.27,14.7534,1.5166,0,0.9163,0.2511,0.0836,0.5816,0.5636,0.0534,0.2993
5427,"IL,IN",1.014,6.5355,0.1136,37.3542,107.8229,963.0928,10.0963,11.6185,0,0,0,0,0,0,0,14.5431,11.2656,1.2853,1.9921,5.8629,0.6263,0.1497,5.0869,5.2489,0.0022,0.6117
5428,"IL,IN",0.1088,0.0536,0.0276,40,110.6038,968.3992,10.3182,11.24,0,0,0,0,0,0,0,41.1937,36.0451,5.1486,0,1.3979,0.1284,0.082,1.1874,0.3439,0.1896,0.8643
5429,"IL,IN",0.0331,0.045,0,36.9565,98.8406,967.5909,10.4645,10.8274,0,0,0,0,0,0,0,34.6326,29.2873,5.3453,0,0.6752,0.029,0.0153,0.631,0.3792,0.0558,0.2403
5430,"IL,IN",0.3316,0.598,0,37.7419,100.8064,969.134,10.3811,10.8294,0,0,0,0,0,0,0,8.5138,7.3097,0.0183,1.1858,0.8546,0.0268,0.0099,0.8178,0.7654,0,0.0891
5431,"IL,IN",0.6013,0.508,0,39.3333,106.3611,969.0975,10.3227,11.0159,0,0,0,0,0,0,0,10.4798,8.6055,0,1.8743,0.9997,0.2057,0.0524,0.7416,0.6798,0,0.3199
5432,"IL,IN",0,0,0,33.9024,88.0976,975.605,10.3515,10.3849,0,0,0,0,0,0,0,41.135,35.952,5.183,0,0.0475,0.047,0,5e-04,0,0,0.0475
5433,"IL,IN",0,0,0,35.2,91.9,971.7814,10.4712,10.4389,0,0,0,0,0,0,0,31.715,26.1997,5.5153,0,0.4224,0.0268,0.0747,0.3209,0.2107,0,0.2117
5434,"IL,IN",0.0227,0.0065,0,36.0952,96.0952,965.1597,10.496,10.7285,0,0,0,0,0,0,0,38.0257,33.695,3.1549,1.1758,0.7814,0.0151,0.0072,0.7591,0.6031,0.0905,0.0878
